	Query strain ID	Array strain ID	P-value	Combined mutant fitness	Combined mutant fitness standard deviation	g1	g2	g3
187398	YDL227C+YOR017W_tm2889	YKL101W_dma2824	0.4111	0.9224	0.0689	YDL227C	YKL101W	YOR017W
262060	YDR310C+YDL227C_tm3143	YCR095C_dma608	0.4111	0.9252	0.0366	YCR095C	YDL227C	YDR310C
361869	YJL030W+YDL227C_tm3211	YGR028W_dma1807	0.4111	0.8511	0.0444	YDL227C	YGR028W	YJL030W
59546	YDL227C+YDR363W_tm2820	YIR011C_tsa1105	0.411	0.6481	0.0685	YDL227C	YDR363W	YIR011C
213031	YDL227C+YPL003W_tm2902	YHR191C_dma2228	0.411	0.8871	0.058	YDL227C	YHR191C	YPL003W
400989	YLR119W+YDL227C_tm3057	YHR006W_dma2080	0.411	0.9421	0.0587	YDL227C	YHR006W	YLR119W
371703	YJR053W+YDL227C_tm3229	YKL116C_dma2836	0.411	0.968	0.0501	YDL227C	YJR053W	YKL116C
317570	YGR206W+YDL227C_tm3351	YJL159W_dma2553	0.411	1.0261	0.0821	YDL227C	YGR206W	YJL159W
80195	YDL227C+YHR004C_tm2828	YLR410W_dma3437	0.411	0.7824	0.0376	YDL227C	YHR004C	YLR410W
402214	YLR119W+YDL227C_tm3122	YJL170C_dma2567	0.411	0.8963	0.0292	YDL227C	YJL170C	YLR119W
362397	YJL030W+YDL227C_tm3211	YOR123C_dma4542	0.4109	0.8917	0.0189	YDL227C	YJL030W	YOR123C
48969	YDL227C+YDL091C_tm2931	YOR064C_dma4482	0.4109	0.9422	0.0546	YDL091C	YDL227C	YOR064C
125385	YDL227C+YLL049W_tm2853	YLR383W_tsa747	0.4108	0.8171	0.0314	YDL227C	YLL049W	YLR383W
222058	YDL227C+YPL241C_tm2914	YKL052C_tsa1002	0.4108	0.9558	0.0566	YDL227C	YKL052C	YPL241C
76909	YDL227C+YGR206W_tm2807	YOL021C_tsa1030	0.4108	0.8288	0.0816	YDL227C	YGR206W	YOL021C
401187	YLR119W+YDL227C_tm3057	YKL206C_dma2915	0.4108	0.9059	0.0352	YDL227C	YKL206C	YLR119W
332214	YHR082C+YDL227C_tm3164	YER106W_dma1397	0.4107	0.9756	0.0318	YDL227C	YER106W	YHR082C
317002	YGR206W+YDL227C_tm3351	YBL061C_dma137	0.4107	0.9572	0.0365	YBL061C	YDL227C	YGR206W
400943	YLR119W+YDL227C_tm3057	YGR100W_dma1869	0.4107	0.8958	0.0498	YDL227C	YGR100W	YLR119W
337047	YHR119W+YDL227C_tm3346	YLR102C_dma3203	0.4107	0.8509	0.0786	YDL227C	YHR119W	YLR102C
317654	YGR206W+YDL227C_tm3351	YKL206C_dma2915	0.4107	0.9917	0.0392	YDL227C	YGR206W	YKL206C
121735	YDL227C+YKR060W_tm2850	YHR191C_dma2228	0.4107	0.7902	0.0538	YDL227C	YHR191C	YKR060W
196706	YDL227C+YOR085W_tm2893	YOR269W_dma4659	0.4106	0.9339	0.0465	YDL227C	YOR085W	YOR269W
150432	YDL227C+YMR036C_tm2771	YPL194W_dma4924	0.4106	0.9537	0.0449	YDL227C	YMR036C	YPL194W
185224	YDL227C+YOR002W_tm2888	YLR018C_dma3113	0.4106	0.9327	0.0619	YDL227C	YLR018C	YOR002W
76456	YDL227C+YGR206W_tm2807	YIL008W_dma2255	0.4106	0.823	0.0475	YDL227C	YGR206W	YIL008W
322727	YHL002W+YDL227C_tm3051	YLR200W_dma3275	0.4106	0.6132	0.0573	YDL227C	YHL002W	YLR200W
363559	YJL030W+YDL227C_tm3288	YPL086C_dma4832	0.4105	0.8112	0.1105	YDL227C	YJL030W	YPL086C
76837	YDL227C+YGR206W_tm2807	YMR247C_dma3860	0.4105	0.923	0.0715	YDL227C	YGR206W	YMR247C
433846	YMR028W+YDL227C_tm3095	YLR102C_dma3203	0.4105	0.8152	0.0667	YDL227C	YLR102C	YMR028W
361912	YJL030W+YDL227C_tm3211	YGR261C_dma2014	0.4105	0.9603	0.081	YDL227C	YGR261C	YJL030W
165751	YDL227C+YNL041C_tm2774	YLR014C_dma3117	0.4105	0.8916	0.0651	YDL227C	YLR014C	YNL041C
363409	YJL030W+YDL227C_tm3288	YNL091W_dma4002	0.4105	0.9022	0.0989	YDL227C	YJL030W	YNL091W
361741	YJL030W+YDL227C_tm3211	YER042W_dma1337	0.4105	0.9612	0.0501	YDL227C	YER042W	YJL030W
64273	YDL227C+YER118C_tm2936	YLR360W_dma3386	0.4105	0.8479	0.0505	YDL227C	YER118C	YLR360W
258961	YDR216W+YDL227C_tm3210	YGL016W_dma1602	0.4104	0.8626	0.0385	YDL227C	YDR216W	YGL016W
137506	YDL227C+YLR368W_tm2769	YHR191C_tsa323	0.4104	0.8851	0.0303	YDL227C	YHR191C	YLR368W
335647	YHR119W+YDL227C_tm3287	YGR096W_dma1871	0.4104	0.8523	0.1503	YDL227C	YGR096W	YHR119W
363339	YJL030W+YDL227C_tm3288	YMR109W_dma3703	0.4104	1.0213	0.0944	YDL227C	YJL030W	YMR109W
193460	YDL227C+YOR038C_tm2747	YPR189W_dma5153	0.4104	0.9704	0.0521	YDL227C	YOR038C	YPR189W
337399	YHR119W+YDL227C_tm3346	YPL144W_dma4881	0.4103	0.7876	0.0793	YDL227C	YHR119W	YPL144W
207849	YDL227C+YOR269W_tm2899	YPL115C_dma4853	0.4103	0.872	0.0914	YDL227C	YOR269W	YPL115C
337417	YHR119W+YDL227C_tm3346	YPL195W_dma4923	0.4103	0.7873	0.0687	YDL227C	YHR119W	YPL195W
401463	YLR119W+YDL227C_tm3057	YOR103C_tsa1158	0.4103	0.7684	0.081	YDL227C	YLR119W	YOR103C
339166	YHR121W+YDL227C_tm3152	YLR059C_dma3150	0.4103	0.9359	0.0384	YDL227C	YHR121W	YLR059C
8671	YBR043C+YDL227C_tm3181	YGL086W_dma1666	0.4103	0.9334	0.0696	YBR043C	YDL227C	YGL086W
265814	YDR363W+YDL227C_tm3182	YLR262C_dma3304	0.4103	0.5646	0.0374	YDL227C	YDR363W	YLR262C
59383	YDL227C+YDR363W_tm2820	YGL157W_dma1698	0.4103	0.821	0.053	YDL227C	YDR363W	YGL157W
76550	YDL227C+YGR206W_tm2807	YJR060W_dma2646	0.4102	0.7379	0.1054	YDL227C	YGR206W	YJR060W
304398	YGL212W+YDL227C_tm3417	YDR469W_dma1195	0.4101	0.5741	0.1102	YDL227C	YDR469W	YGL212W
340436	YHR142W+YDL227C_tm3160	YER106W_dma1397	0.4101	1.0071	0.0283	YDL227C	YER106W	YHR142W
116919	YDL227C+YKL207W_tm2735	YDR216W_dma973	0.4101	0.9685	0.0358	YDL227C	YDR216W	YKL207W
143540	YDL227C+YML107C_tm2865	YNL136W_dma4040	0.4101	0.6811	0.0718	YDL227C	YML107C	YNL136W
57620	YDL227C+YDR254W_tm2750	YMR026C_dma3642	0.4101	0.8406	0.0454	YDL227C	YDR254W	YMR026C
59308	YDL227C+YDR363W_tm2820	YER123W_dma1406	0.4101	0.7738	0.0426	YDL227C	YDR363W	YER123W
102121	YDL227C+YJL154C_tm2838	YAR003W_dma67	0.4101	0.6796	0.0652	YAR003W	YDL227C	YJL154C
317925	YGR206W+YDL227C_tm3351	YNL116W_dma4032	0.4101	0.9824	0.0659	YDL227C	YGR206W	YNL116W
337461	YHR119W+YDL227C_tm3346	YPR189W_dma5153	0.41	0.8726	0.1546	YDL227C	YHR119W	YPR189W
401668	YLR119W+YDL227C_tm3122	YBR082C_dma245	0.41	0.7856	0.0335	YBR082C	YDL227C	YLR119W
60006	YDL227C+YDR363W_tm2820	YOR038C_dma4455	0.41	0.7907	0.0303	YDL227C	YDR363W	YOR038C
335810	YHR119W+YDL227C_tm3287	YKL039W_dma2765	0.41	0.836	0.1463	YDL227C	YHR119W	YKL039W
71561	YDL227C+YGL231C_tm2732	YCR095C_dma608	0.4099	0.9899	0.03	YCR095C	YDL227C	YGL231C
59148	YDL227C+YDR363W_tm2820	YBR246W_dma412	0.4099	0.7962	0.0235	YBR246W	YDL227C	YDR363W
364866	YJL053W+YDL227C_tm3124	YDR279W_dma1021	0.4099	0.7498	0.0681	YDL227C	YDR279W	YJL053W
313011	YGR179C+YDL227C_tm3117	YNL041C_dma3970	0.4099	0.818	0.0647	YDL227C	YGR179C	YNL041C
400963	YLR119W+YDL227C_tm3057	YGR202C_dma1963	0.4099	0.9188	0.071	YDL227C	YGR202C	YLR119W
391151	YLR014C+YDL227C_tm3233	YHR191C_tsa323	0.4098	0.8584	0.0572	YDL227C	YHR191C	YLR014C
127914	YDL227C+YLR135W_tm2765	YPL196W_dma4922	0.4098	1.0336	0.0627	YDL227C	YLR135W	YPL196W
211016	YDL227C+YOR368W_tm2901	YLR410W_dma3437	0.4098	0.7895	0.0415	YDL227C	YLR410W	YOR368W
142695	YDL227C+YML107C_tm2865	YBR087W_tsa887	0.4098	0.7637	0.074	YBR087W	YDL227C	YML107C
64226	YDL227C+YER118C_tm2936	YLR119W_dma3215	0.4097	0.8502	0.0805	YDL227C	YER118C	YLR119W
184751	YDL227C+YOR002W_tm2888	YDR386W_dma1107	0.4097	0.9018	0.0685	YDL227C	YDR386W	YOR002W
317524	YGR206W+YDL227C_tm3351	YIR003W_dma2424	0.4097	0.954	0.0762	YDL227C	YGR206W	YIR003W
443206	YMR223W+YDL227C_tm3282	YHR154W_dma2190	0.4097	0.7425	0.0406	YDL227C	YHR154W	YMR223W
59399	YDL227C+YDR363W_tm2820	YGL216W_dma1751	0.4097	0.8169	0.053	YDL227C	YDR363W	YGL216W
60438	YDL227C+YDR386W_tm2751	YGL016W_dma1602	0.4097	0.8785	0.0643	YDL227C	YDR386W	YGL016W
262241	YDR310C+YDL227C_tm3143	YGL231C_dma1761	0.4097	0.828	0.0698	YDL227C	YDR310C	YGL231C
112984	YDL227C+YKL074C_tm2942	YML107C_dma3609	0.4096	0.9142	0.0271	YDL227C	YKL074C	YML107C
331002	YHR067W+YDL227C_tm3222	YML012W_dma3523	0.4096	0.772	0.0484	YDL227C	YHR067W	YML012W
57396	YDL227C+YDR254W_tm2750	YJR125C_dma2718	0.4095	0.9642	0.0396	YDL227C	YDR254W	YJR125C
434042	YMR028W+YDL227C_tm3095	YOR023C_dma4446	0.4095	0.865	0.0689	YDL227C	YMR028W	YOR023C
139887	YDL227C+YML012W_tm2862	YJR050W_dma2630	0.4095	0.9739	0.1452	YDL227C	YJR050W	YML012W
460930	YOL090W+YDL227C_tm3216	YBR043C_dma207	0.4095	0.9109	0.0425	YBR043C	YDL227C	YOL090W
62637	YDL227C+YDR469W_tm2972	YER118C_dma1411	0.4095	0.9892	0.0732	YDL227C	YDR469W	YER118C
90449	YDL227C+YHR167W_tm2757	YMR223W_dma3807	0.4095	0.7968	0.0602	YDL227C	YHR167W	YMR223W
401934	YLR119W+YDL227C_tm3122	YER125W_tsa464	0.4095	0.4497	0.1007	YDL227C	YER125W	YLR119W
365626	YJL053W+YDL227C_tm3124	YOR368W_dma4760	0.4095	0.7605	0.0499	YDL227C	YJL053W	YOR368W
363301	YJL030W+YDL227C_tm3288	YML047C_dma3544	0.4095	0.9975	0.1557	YDL227C	YJL030W	YML047C
394016	YLR021W+YDL227C_tm3348	YBR043C_dma207	0.4094	0.886	0.0628	YBR043C	YDL227C	YLR021W
361589	YJL030W+YDL227C_tm3211	YDL077C_dma649	0.4094	0.6247	0.1008	YDL077C	YDL227C	YJL030W
166272	YDL227C+YNL051W_tm2740	YCR008W_dma533	0.4094	0.859	0.0311	YCR008W	YDL227C	YNL051W
59129	YDL227C+YDR363W_tm2820	YBR162W-A_dma319	0.4094	0.8431	0.0418	YBR162W-A	YDL227C	YDR363W
363178	YJL030W+YDL227C_tm3288	YLL021W_dma3042	0.4094	1.0257	0.116	YDL227C	YJL030W	YLL021W
335210	YHR119W+YDL227C_tm3287	YAL053W_dma38	0.4093	0.8206	0.1389	YAL053W	YDL227C	YHR119W
46706	YDL227C+YBR229C_tm2775	YOR264W_dma4664	0.4093	0.9251	0.0491	YBR229C	YDL227C	YOR264W
371902	YJR053W+YDL227C_tm3229	YMR070W_dma3680	0.4093	0.8833	0.0582	YDL227C	YJR053W	YMR070W
259051	YDR216W+YDL227C_tm3210	YGR166W_dma1941	0.4093	0.879	0.061	YDL227C	YDR216W	YGR166W
126432	YDL227C+YLR102C_tm2764	YKL191W_dma2901	0.4093	0.9787	0.0273	YDL227C	YKL191W	YLR102C
190042	YDL227C+YOR023C_tm2746	YPL115C_dma4853	0.4093	0.9796	0.0354	YDL227C	YOR023C	YPL115C
106440	YDL227C+YJR050W_tm2842	YOR027W_dma4442	0.4093	0.9487	0.1006	YDL227C	YJR050W	YOR027W
381310	YKL051W+YDL227C_tm3059	YGL213C_dma1731	0.4092	0.8864	0.0364	YDL227C	YGL213C	YKL051W
395592	YLR059C+YDL227C_tm3204	YBL041W_tsa1064	0.4092	0.8439	0.0722	YBL041W	YDL227C	YLR059C
339018	YHR121W+YDL227C_tm3152	YJL154C_dma2534	0.4092	0.7693	0.0626	YDL227C	YHR121W	YJL154C
76034	YDL227C+YGR206W_tm2807	YBR275C_dma438	0.4092	0.9539	0.0806	YBR275C	YDL227C	YGR206W
95678	YDL227C+YIL065C_tm2834	YGL086W_dma1666	0.4092	0.9654	0.0547	YDL227C	YGL086W	YIL065C
148982	YDL227C+YMR026C_tm2866	YLR021W_dma3110	0.4092	0.827	0.1131	YDL227C	YLR021W	YMR026C
192764	YDL227C+YOR038C_tm2747	YGL231C_dma1761	0.4091	0.9612	0.0665	YDL227C	YGL231C	YOR038C
