	Query strain ID	Array strain ID	P-value	Combined mutant fitness	Combined mutant fitness standard deviation	g1	g2	g3
381092	YKL051W+YDL227C_tm3059	YDR108W_dma909	0.5	0.835	0.0464	YDL227C	YDR108W	YKL051W
279190	YER106W+YDL227C_tm3243	YOR023C_dma4446	0.5	1.0361	0.0701	YDL227C	YER106W	YOR023C
258723	YDR216W+YDL227C_tm3210	YBR087W_tsa887	0.5	0.9108	0.0482	YBR087W	YDL227C	YDR216W
44493	YDL227C+YBL041W_tm2790	YPL003W_dma4768	0.5	0.9196	0.0524	YBL041W	YDL227C	YPL003W
126404	YDL227C+YLR102C_tm2764	YKL051W_dma2779	0.5	0.963	0.0467	YDL227C	YKL051W	YLR102C
401422	YLR119W+YDL227C_tm3057	YOL070C_dma4367	0.5	0.878	0.0514	YDL227C	YLR119W	YOL070C
363512	YJL030W+YDL227C_tm3288	YOR228C_dma4638	0.5	0.9653	0.2204	YDL227C	YJL030W	YOR228C
184207	YDL227C+YOL111C_tm2745	YMR028W_tsa697	0.5	0.8865	0.0322	YDL227C	YMR028W	YOL111C
400514	YLR119W+YDL227C_tm3057	YBL007C_dma91	0.5	0.7342	0.0422	YBL007C	YDL227C	YLR119W
49927	YDL227C+YDL099W_tm2786	YML107C_dma3609	0.5	1.0435	0.0699	YDL099W	YDL227C	YML107C
317887	YGR206W+YDL227C_tm3351	YMR274C_dma3885	0.5	0.9557	0.1251	YDL227C	YGR206W	YMR274C
402482	YLR119W+YDL227C_tm3122	YNL051W_dma3963	0.5	0.8352	0.0642	YDL227C	YLR119W	YNL051W
44995	YDL227C+YBR098W_tm2759	YHL002W_dma2033	0.4999	0.917	0.0689	YBR098W	YDL227C	YHL002W
335296	YHR119W+YDL227C_tm3287	YBR215W_dma370	0.4999	0.789	0.0611	YBR215W	YDL227C	YHR119W
309549	YGR166W+YDL227C_tm3048	YLL038C_dma3057	0.4999	0.9155	0.0352	YDL227C	YGR166W	YLL038C
443204	YMR223W+YDL227C_tm3282	YHR142W_dma2174	0.4999	0.8208	0.0431	YDL227C	YHR142W	YMR223W
96205	YDL227C+YIL065C_tm2834	YNL041C_dma3970	0.4999	0.9142	0.0681	YDL227C	YIL065C	YNL041C
116945	YDL227C+YKL207W_tm2735	YDR363W_dma1100	0.4999	0.8594	0.0439	YDL227C	YDR363W	YKL207W
163278	YDL227C+YMR289W_tm2876	YHR191C_tsa323	0.4999	0.8705	0.0461	YDL227C	YHR191C	YMR289W
58095	YDL227C+YDR279W_tm2818	YDL099W_dma691	0.4999	1.0252	0.0482	YDL099W	YDL227C	YDR279W
337032	YHR119W+YDL227C_tm3346	YLR048W_dma3136	0.4999	0.4686	0.0688	YDL227C	YHR119W	YLR048W
76646	YDL227C+YGR206W_tm2807	YLL024C_dma3040	0.4998	0.9299	0.0279	YDL227C	YGR206W	YLL024C
265878	YDR363W+YDL227C_tm3182	YML108W_dma3608	0.4998	0.8514	0.0423	YDL227C	YDR363W	YML108W
399574	YLR085C+YDL227C_tm3061	YLR325C_dma3367	0.4998	0.8488	0.0428	YDL227C	YLR085C	YLR325C
434112	YMR028W+YDL227C_tm3095	YPL003W_dma4768	0.4998	0.8254	0.0406	YDL227C	YMR028W	YPL003W
361827	YJL030W+YDL227C_tm3211	YGL110C_dma1680	0.4998	0.9182	0.0718	YDL227C	YGL110C	YJL030W
115641	YDL227C+YKL191W_tm2978	YBR229C_dma402	0.4998	0.9619	0.0219	YBR229C	YDL227C	YKL191W
335319	YHR119W+YDL227C_tm3287	YCL014W_dma474	0.4998	0.83	0.0923	YCL014W	YDL227C	YHR119W
358984	YIR006C+YDL227C_tm3086	YLR119W_dma3215	0.4998	0.686	0.055	YDL227C	YIR006C	YLR119W
336049	YHR119W+YDL227C_tm3287	YMR162C_dma3764	0.4998	0.8452	0.0801	YDL227C	YHR119W	YMR162C
248241	YDR016C+YDL227C_tm3261	YER118C_dma1411	0.4998	1.0453	0.0541	YDL227C	YDR016C	YER118C
76824	YDL227C+YGR206W_tm2807	YMR204C_dma3796	0.4998	0.8243	0.0428	YDL227C	YGR206W	YMR204C
401396	YLR119W+YDL227C_tm3057	YNR007C_dma4210	0.4998	0.8389	0.0587	YDL227C	YLR119W	YNR007C
362557	YJL030W+YDL227C_tm3288	YBL031W_dma111	0.4998	0.865	0.4119	YBL031W	YDL227C	YJL030W
336636	YHR119W+YDL227C_tm3346	YDR530C_dma1247	0.4997	0.8884	0.0759	YDL227C	YDR530C	YHR119W
217265	YDL227C+YPL115C_tm2907	YER106W_dma1397	0.4997	0.9049	0.0525	YDL227C	YER106W	YPL115C
401850	YLR119W+YDL227C_tm3122	YDR260C_dma1012	0.4997	0.8993	0.0473	YDL227C	YDR260C	YLR119W
88312	YDL227C+YHR154W_tm2756	YOR064C_dma4482	0.4997	0.9226	0.0437	YDL227C	YHR154W	YOR064C
336016	YHR119W+YDL227C_tm3287	YML124C_dma3619	0.4997	0.7815	0.1103	YDL227C	YHR119W	YML124C
143317	YDL227C+YML107C_tm2865	YKL191W_dma2901	0.4997	0.7761	0.0628	YDL227C	YKL191W	YML107C
362866	YJL030W+YDL227C_tm3288	YER131W_dma1424	0.4997	0.8372	0.0436	YDL227C	YER131W	YJL030W
76102	YDL227C+YGR206W_tm2807	YDR007W_dma835	0.4997	0.8974	0.043	YDL227C	YDR007W	YGR206W
76125	YDL227C+YGR206W_tm2807	YDR107C_dma910	0.4997	0.9398	0.0339	YDL227C	YDR107C	YGR206W
461712	YOL090W+YDL227C_tm3216	YML012W_dma3523	0.4997	0.9391	0.0169	YDL227C	YML012W	YOL090W
59605	YDL227C+YDR363W_tm2820	YJR033C_dma2640	0.4996	0.7631	0.0462	YDL227C	YDR363W	YJR033C
317026	YGR206W+YDL227C_tm3351	YBR043C_dma207	0.4996	0.9649	0.0753	YBR043C	YDL227C	YGR206W
401099	YLR119W+YDL227C_tm3057	YJL139C_dma2524	0.4996	0.8316	0.0571	YDL227C	YJL139C	YLR119W
71992	YDL227C+YGL231C_tm2732	YJR050W_dma2630	0.4996	0.9584	0.0333	YDL227C	YGL231C	YJR050W
26839	YCR008W+YDL227C_tm3155	YLL038C_dma3057	0.4996	0.7981	0.0494	YCR008W	YDL227C	YLL038C
362924	YJL030W+YDL227C_tm3288	YGL094C_dma5295	0.4996	1.0023	0.0636	YDL227C	YGL094C	YJL030W
117294	YDL227C+YKL207W_tm2735	YJL170C_dma2567	0.4996	0.9613	0.0539	YDL227C	YJL170C	YKL207W
49595	YDL227C+YDL099W_tm2786	YHR167W_dma2216	0.4996	1.0031	0.0142	YDL099W	YDL227C	YHR167W
340710	YHR142W+YDL227C_tm3160	YJR140C_dma2729	0.4996	1.0165	0.0324	YDL227C	YHR142W	YJR140C
436637	YMR055C+YDL227C_tm3214	YGL016W_dma1602	0.4995	0.846	0.0852	YDL227C	YGL016W	YMR055C
222161	YDL227C+YPL241C_tm2914	YLR102C_dma3203	0.4995	0.9692	0.033	YDL227C	YLR102C	YPL241C
201648	YDL227C+YOR195W_tm2896	YGL231C_dma1761	0.4995	0.8783	0.029	YDL227C	YGL231C	YOR195W
12033	YBR070C+YDL227C_tm3275	YHR121W_dma2171	0.4995	0.8902	0.0584	YBR070C	YDL227C	YHR121W
213448	YDL227C+YPL003W_tm2902	YNL041C_dma3970	0.4995	0.9448	0.037	YDL227C	YNL041C	YPL003W
332620	YHR082C+YDL227C_tm3164	YLR172C_dma3252	0.4995	0.9269	0.0744	YDL227C	YHR082C	YLR172C
362016	YJL030W+YDL227C_tm3211	YKL055C_dma2776	0.4995	0.7895	0.0285	YDL227C	YJL030W	YKL055C
244600	YDL227C+YPR160W_tm2784	YHR191C_tsa323	0.4995	0.8772	0.0552	YDL227C	YHR191C	YPR160W
315846	YGR202C+YDL227C_tm3156	YJL030W_dma2472	0.4995	0.9512	0.0394	YDL227C	YGR202C	YJL030W
105703	YDL227C+YJR050W_tm2842	YDR162C_dma958	0.4995	0.722	0.0905	YDL227C	YDR162C	YJR050W
384782	YKL206C+YDL227C_tm3171	YLL038C_dma3057	0.4995	0.9403	0.0467	YDL227C	YKL206C	YLL038C
133121	YDL227C+YLR325C_tm2858	YJR140C_dma2729	0.4995	0.9831	0.0304	YDL227C	YJR140C	YLR325C
330482	YHR067W+YDL227C_tm3222	YDR386W_dma1107	0.4994	0.7074	0.0468	YDL227C	YDR386W	YHR067W
401675	YLR119W+YDL227C_tm3122	YBR095C_dma259	0.4994	0.7592	0.0586	YBR095C	YDL227C	YLR119W
335340	YHR119W+YDL227C_tm3287	YCR077C_dma599	0.4994	0.7248	0.1194	YCR077C	YDL227C	YHR119W
404277	YLR172C+YDL227C_tm3293	YHR012W_dma2078	0.4994	0.714	0.0519	YDL227C	YHR012W	YLR172C
337377	YHR119W+YDL227C_tm3346	YPL017C_dma4786	0.4994	0.8724	0.0354	YDL227C	YHR119W	YPL017C
443424	YMR223W+YDL227C_tm3282	YLR018C_dma3113	0.4994	0.8016	0.0804	YDL227C	YLR018C	YMR223W
155531	YDL227C+YMR129W_tm2772	YJR050W_dma2630	0.4994	1.0079	0.0643	YDL227C	YJR050W	YMR129W
76268	YDL227C+YGR206W_tm2807	YER164W_dma1461	0.4994	0.8867	0.0525	YDL227C	YER164W	YGR206W
76821	YDL227C+YGR206W_tm2807	YMR190C_dma3784	0.4994	0.8089	0.0818	YDL227C	YGR206W	YMR190C
351320	YIL005W+YKL207W_tm2420	YHR191C_dma2228	0.4994	0.8347	0.0454	YHR191C	YIL005W	YKL207W
76871	YDL227C+YGR206W_tm2807	YNL064C_dma3979	0.4994	0.609	0.0488	YDL227C	YGR206W	YNL064C
140330	YDL227C+YML012W_tm2862	YPL196W_dma4922	0.4994	0.9609	0.1627	YDL227C	YML012W	YPL196W
72989	YDL227C+YGL241W_tm2826	YHR067W_dma2135	0.4994	0.682	0.0433	YDL227C	YGL241W	YHR067W
210511	YDL227C+YOR368W_tm2901	YER106W_dma1397	0.4994	0.9551	0.0474	YDL227C	YER106W	YOR368W
401919	YLR119W+YDL227C_tm3122	YER074W_dma1373	0.4993	0.5193	0.1638	YDL227C	YER074W	YLR119W
13246	YBR086C+YDL227C_tm3207	YDL017W_tsa880	0.4993	0.7554	0.1147	YBR086C	YDL017W	YDL227C
400670	YLR119W+YDL227C_tm3057	YDR006C_dma836	0.4993	0.8255	0.0671	YDL227C	YDR006C	YLR119W
106239	YDL227C+YJR050W_tm2842	YLR383W_tsa747	0.4993	0.9163	0.0316	YDL227C	YJR050W	YLR383W
103661	YDL227C+YJL170C_tm2840	YGL241W_dma1755	0.4993	0.9728	0.0284	YDL227C	YGL241W	YJL170C
59904	YDL227C+YDR363W_tm2820	YMR274C_dma3885	0.4993	0.8139	0.0972	YDL227C	YDR363W	YMR274C
43965	YDL227C+YBL041W_tm2790	YIR006C_tsa353	0.4993	0.7376	0.0416	YBL041W	YDL227C	YIR006C
401674	YLR119W+YDL227C_tm3122	YBR094W_dma260	0.4993	0.8632	0.1172	YBR094W	YDL227C	YLR119W
46167	YDL227C+YBR229C_tm2775	YHR191C_tsa323	0.4993	0.8156	0.0374	YBR229C	YDL227C	YHR191C
15738	YBR087W+YDL227C_tm3066	YOR064C_dma4482	0.4993	0.9853	0.0365	YBR087W	YDL227C	YOR064C
292904	YGL016W+YDL227C_tm3141	YAR002W_dma68	0.4993	0.9773	0.0569	YAR002W	YDL227C	YGL016W
191137	YDL227C+YOR027W_tm2778	YPL003W_dma4768	0.4992	0.9754	0.0524	YDL227C	YOR027W	YPL003W
332312	YHR082C+YDL227C_tm3164	YGL231C_dma1761	0.4992	0.9339	0.0532	YDL227C	YGL231C	YHR082C
361554	YJL030W+YDL227C_tm3211	YCL033C_dma497	0.4992	1.0244	0.0474	YCL033C	YDL227C	YJL030W
63980	YDL227C+YER118C_tm2936	YHR156C_dma2188	0.4992	0.9302	0.0406	YDL227C	YER118C	YHR156C
362965	YJL030W+YDL227C_tm3288	YGR014W_dma1796	0.4992	0.9648	0.1287	YDL227C	YGR014W	YJL030W
193956	YDL227C+YOR064C_tm2891	YHR012W_dma2078	0.4992	0.692	0.0464	YDL227C	YHR012W	YOR064C
59417	YDL227C+YDR363W_tm2820	YGR058W_dma1845	0.4992	0.8088	0.058	YDL227C	YDR363W	YGR058W
95786	YDL227C+YIL065C_tm2834	YHR012W_dma2078	0.4992	0.7453	0.0603	YDL227C	YHR012W	YIL065C
49116	YDL227C+YDL091C_tm2931	YPR189W_dma5153	0.4992	0.9398	0.0862	YDL091C	YDL227C	YPR189W
212514	YDL227C+YPL003W_tm2902	YAR002W_dma68	0.4992	0.9879	0.0276	YAR002W	YDL227C	YPL003W
44924	YDL227C+YBR098W_tm2759	YGL203C_dma1738	0.4991	0.9168	0.0882	YBR098W	YDL227C	YGL203C
65276	YDL227C+YER164W_tm2753	YKL116C_dma2836	0.4991	0.822	0.0457	YDL227C	YER164W	YKL116C
492649	YPL196W+YDL227C_tm3235	YOR085W_dma4524	0.4991	0.8818	0.0429	YDL227C	YOR085W	YPL196W
149273	YDL227C+YMR026C_tm2866	YOR368W_dma4760	0.4991	0.8804	0.0855	YDL227C	YMR026C	YOR368W
266021	YDR363W+YDL227C_tm3182	YOL090W_dma4377	0.4991	0.809	0.158	YDL227C	YDR363W	YOL090W
75907	YDL227C+YGR196C_tm2939	YPR079W_dma5083	0.4991	1.0204	0.0968	YDL227C	YGR196C	YPR079W
76552	YDL227C+YGR206W_tm2807	YJR066W_dma5319	0.4991	0.9236	0.041	YDL227C	YGR206W	YJR066W
140012	YDL227C+YML012W_tm2862	YLR059C_dma3150	0.499	0.909	0.1325	YDL227C	YLR059C	YML012W
343405	YHR156C+YDL227C_tm3157	YBR043C_dma207	0.499	0.9556	0.0386	YBR043C	YDL227C	YHR156C
322546	YHL002W+YDL227C_tm3051	YJL170C_dma2567	0.499	0.9255	0.0483	YDL227C	YHL002W	YJL170C
183678	YDL227C+YOL111C_tm2745	YER164W_dma1461	0.499	0.9688	0.0573	YDL227C	YER164W	YOL111C
44471	YDL227C+YBL041W_tm2790	YOR264W_dma4664	0.499	0.9324	0.0739	YBL041W	YDL227C	YOR264W
401272	YLR119W+YDL227C_tm3057	YML041C_dma3546	0.499	0.7779	0.0567	YDL227C	YLR119W	YML041C
49009	YDL227C+YDL091C_tm2931	YOR269W_dma4659	0.499	0.9148	0.0725	YDL091C	YDL227C	YOR269W
358944	YIR006C+YDL227C_tm3086	YLL038C_dma3057	0.499	0.7246	0.0973	YDL227C	YIR006C	YLL038C
48542	YDL227C+YDL091C_tm2931	YJL154C_dma2534	0.499	0.76	0.0663	YDL091C	YDL227C	YJL154C
400831	YLR119W+YDL227C_tm3057	YER149C_dma1449	0.499	0.9022	0.0846	YDL227C	YER149C	YLR119W
230084	YDL227C+YPR031W_tm2918	YKL206C_dma2915	0.499	0.9953	0.0531	YDL227C	YKL206C	YPR031W
436589	YMR055C+YDL227C_tm3214	YER106W_dma1397	0.4989	0.9371	0.041	YDL227C	YER106W	YMR055C
166653	YDL227C+YNL051W_tm2740	YHR067W_dma2135	0.4989	0.6629	0.0524	YDL227C	YHR067W	YNL051W
301817	YGL175C+YDL227C_tm3196	YNL153C_dma4055	0.4989	0.8086	0.1075	YDL227C	YGL175C	YNL153C
312587	YGR179C+YDL227C_tm3117	YHR154W_dma2190	0.4989	0.8388	0.0483	YDL227C	YGR179C	YHR154W
400793	YLR119W+YDL227C_tm3057	YDR508C_dma1216	0.4989	0.825	0.034	YDL227C	YDR508C	YLR119W
59699	YDL227C+YDR363W_tm2820	YKR093W_dma3024	0.4989	0.815	0.0423	YDL227C	YDR363W	YKR093W
318038	YGR206W+YDL227C_tm3351	YOR308C_dma4696	0.4989	0.928	0.0488	YDL227C	YGR206W	YOR308C
384962	YKL206C+YDL227C_tm3171	YMR223W_dma3807	0.4989	0.8626	0.0397	YDL227C	YKL206C	YMR223W
106016	YDL227C+YJR050W_tm2842	YHR191C_tsa323	0.4989	0.8377	0.0472	YDL227C	YHR191C	YJR050W
60228	YDL227C+YDR386W_tm2751	YBR087W_tsa887	0.4989	0.9225	0.0573	YBR087W	YDL227C	YDR386W
407268	YLR200W+YDL227C_tm3413	YDL099W_dma691	0.4988	0.6653	0.1207	YDL099W	YDL227C	YLR200W
212665	YDL227C+YPL003W_tm2902	YDL099W_dma691	0.4988	1.051	0.0471	YDL099W	YDL227C	YPL003W
194535	YDL227C+YOR064C_tm2891	YPL194W_dma4924	0.4988	0.9	0.0332	YDL227C	YOR064C	YPL194W
77070	YDL227C+YGR206W_tm2807	YPR029C_dma5051	0.4988	0.9389	0.0564	YDL227C	YGR206W	YPR029C
60086	YDL227C+YDR363W_tm2820	YPL079W_dma4835	0.4988	0.6656	0.067	YDL227C	YDR363W	YPL079W
316427	YGR202C+YDL227C_tm3156	YPR065W_dma5072	0.4988	0.961	0.0463	YDL227C	YGR202C	YPR065W
336058	YHR119W+YDL227C_tm3287	YMR207C_dma3816	0.4988	0.6784	0.1983	YDL227C	YHR119W	YMR207C
394240	YLR021W+YDL227C_tm3348	YDR437W_tsa1014	0.4988	0.5815	0.0733	YDL227C	YDR437W	YLR021W
401409	YLR119W+YDL227C_tm3057	YOL004W_dma4294	0.4988	0.5178	0.0593	YDL227C	YLR119W	YOL004W
265557	YDR363W+YDL227C_tm3182	YIL034C_dma2258	0.4987	0.8599	0.0269	YDL227C	YDR363W	YIL034C
396236	YLR059C+YDL227C_tm3204	YKL074C_dma2820	0.4987	0.8988	0.0465	YDL227C	YKL074C	YLR059C
184307	YDL227C+YOL111C_tm2745	YNL153C_dma4055	0.4987	0.8791	0.0401	YDL227C	YNL153C	YOL111C
213130	YDL227C+YPL003W_tm2902	YJR050W_dma2630	0.4987	1.0041	0.0424	YDL227C	YJR050W	YPL003W
96261	YDL227C+YIL065C_tm2834	YOL090W_dma4377	0.4987	0.9117	0.1114	YDL227C	YIL065C	YOL090W
265510	YDR363W+YDL227C_tm3182	YHR003C_dma2083	0.4987	0.8478	0.0561	YDL227C	YDR363W	YHR003C
381354	YKL051W+YDL227C_tm3059	YGR166W_dma1941	0.4987	0.9086	0.0404	YDL227C	YGR166W	YKL051W
70730	YDL227C+YGL213C_tm2976	YHR004C_dma2082	0.4987	0.8561	0.0917	YDL227C	YGL213C	YHR004C
113799	YDL227C+YKL101W_tm2844	YHR004C_dma2082	0.4987	0.8778	0.0387	YDL227C	YHR004C	YKL101W
248376	YDR016C+YDL227C_tm3261	YGR166W_dma1941	0.4987	0.9979	0.049	YDL227C	YDR016C	YGR166W
155643	YDL227C+YMR129W_tm2772	YLR018C_dma3113	0.4986	1.0087	0.0676	YDL227C	YLR018C	YMR129W
54820	YDL227C+YDR108W_tm2935	YAL059W_dma55	0.4986	0.9018	0.0678	YAL059W	YDL227C	YDR108W
127430	YDL227C+YLR135W_tm2765	YJL030W_dma2472	0.4986	1.0141	0.0617	YDL227C	YJL030W	YLR135W
63469	YDL227C+YDR469W_tm2972	YPR065W_dma5072	0.4986	0.9685	0.0699	YDL227C	YDR469W	YPR065W
402563	YLR119W+YDL227C_tm3122	YOR059C_dma4485	0.4986	0.903	0.0797	YDL227C	YLR119W	YOR059C
330678	YHR067W+YDL227C_tm3222	YGR179C_tsa227	0.4986	0.6445	0.0346	YDL227C	YGR179C	YHR067W
107389	YDL227C+YJR074W_tm2843	YML108W_dma3608	0.4986	0.9796	0.0547	YDL227C	YJR074W	YML108W
265286	YDR363W+YDL227C_tm3182	YDR116C_dma903	0.4986	0.6921	0.0347	YDL227C	YDR116C	YDR363W
75604	YDL227C+YGR196C_tm2939	YML107C_dma3609	0.4986	1.0521	0.0592	YDL227C	YGR196C	YML107C
232126	YDL227C+YPR075C_tm2921	YHR004C_dma2082	0.4986	0.8955	0.0215	YDL227C	YHR004C	YPR075C
9446	YBR043C+YDL227C_tm3181	YPR079W_dma5083	0.4986	0.9735	0.0396	YBR043C	YDL227C	YPR079W
59624	YDL227C+YDR363W_tm2820	YJR124C_dma2719	0.4986	0.8227	0.0622	YDL227C	YDR363W	YJR124C
189953	YDL227C+YOR023C_tm2746	YNL136W_dma4040	0.4986	0.8649	0.0607	YDL227C	YNL136W	YOR023C
2573	YAR003W+YDL227C_tm3286	YER164W_dma1461	0.4986	0.8206	0.0145	YAR003W	YDL227C	YER164W
266161	YDR363W+YDL227C_tm3182	YPL239W_dma4962	0.4985	0.546	0.0896	YDL227C	YDR363W	YPL239W
231261	YDL227C+YPR065W_tm2919	YLR018C_dma3113	0.4985	1.0028	0.0295	YDL227C	YLR018C	YPR065W
335403	YHR119W+YDL227C_tm3287	YDR113C_tsa862	0.4985	0.7373	0.1859	YDL227C	YDR113C	YHR119W
136356	YDL227C+YLR360W_tm2736	YHR012W_dma2078	0.4985	0.6974	0.0391	YDL227C	YHR012W	YLR360W
402598	YLR119W+YDL227C_tm3122	YOR244W_tsa560	0.4985	0.8511	0.0818	YDL227C	YLR119W	YOR244W
402399	YLR119W+YDL227C_tm3122	YMR004W_dma3614	0.4985	0.8401	0.0307	YDL227C	YLR119W	YMR004W
206	YAR002W+YDL227C_tm3180	YDR162C_dma958	0.4985	0.7133	0.0791	YAR002W	YDL227C	YDR162C
362464	YJL030W+YDL227C_tm3211	YPL100W_dma4844	0.4985	0.9118	0.0358	YDL227C	YJL030W	YPL100W
103646	YDL227C+YJL170C_tm2840	YGL175C_dma1706	0.4984	0.9663	0.02	YDL227C	YGL175C	YJL170C
317630	YGR206W+YDL227C_tm3351	YKL068W_dma2803	0.4984	0.9756	0.0598	YDL227C	YGR206W	YKL068W
371089	YJR053W+YDL227C_tm3229	YAR002W_dma68	0.4984	0.952	0.0312	YAR002W	YDL227C	YJR053W
373557	YJR082C+YDL227C_tm3192	YML012W_dma3523	0.4984	0.9492	0.0361	YDL227C	YJR082C	YML012W
248332	YDR016C+YDL227C_tm3261	YGL213C_dma1731	0.4984	0.9869	0.058	YDL227C	YDR016C	YGL213C
112223	YDL227C+YKL074C_tm2942	YBL041W_tsa1064	0.4984	0.7635	0.0344	YBL041W	YDL227C	YKL074C
45327	YDL227C+YBR098W_tm2759	YLR360W_dma3386	0.4984	0.8323	0.0736	YBR098W	YDL227C	YLR360W
373801	YJR082C+YDL227C_tm3192	YOR336W_tsa139	0.4984	0.7647	0.0454	YDL227C	YJR082C	YOR336W
429449	YML108W+YDL227C_tm3354	YPR079W_dma5083	0.4984	0.9363	0.0242	YDL227C	YML108W	YPR079W
202294	YDL227C+YOR195W_tm2896	YPL194W_dma4924	0.4984	0.9089	0.0256	YDL227C	YOR195W	YPL194W
362251	YJL030W+YDL227C_tm3211	YMR163C_dma3763	0.4984	0.857	0.0373	YDL227C	YJL030W	YMR163C
317942	YGR206W+YDL227C_tm3351	YNR039C_dma4256	0.4984	0.9849	0.0309	YDL227C	YGR206W	YNR039C
28051	YCR095C+YDL227C_tm3249	YDR254W_dma1018	0.4983	0.9262	0.0511	YCR095C	YDL227C	YDR254W
365375	YJL053W+YDL227C_tm3124	YML012W_dma3523	0.4983	0.7846	0.0185	YDL227C	YJL053W	YML012W
87402	YDL227C+YHR154W_tm2756	YBR098W_dma258	0.4983	0.9187	0.0559	YBR098W	YDL227C	YHR154W
336268	YHR119W+YDL227C_tm3287	YPL128C_tsa1199	0.4983	0.5677	0.1506	YDL227C	YHR119W	YPL128C
165068	YDL227C+YNL041C_tm2774	YBR043C_dma207	0.4983	0.9207	0.0466	YBR043C	YDL227C	YNL041C
139284	YDL227C+YML012W_tm2862	YBL041W_tsa1064	0.4983	0.8012	0.0347	YBL041W	YDL227C	YML012W
79052	YDL227C+YHL029C_tm2827	YLR347C_tsa226	0.4983	0.7985	0.0442	YDL227C	YHL029C	YLR347C
90609	YDL227C+YHR167W_tm2757	YOR264W_dma4664	0.4983	0.9319	0.0942	YDL227C	YHR167W	YOR264W
232279	YDL227C+YPR075C_tm2921	YJR125C_dma2718	0.4983	0.925	0.0116	YDL227C	YJR125C	YPR075C
62431	YDL227C+YDR469W_tm2972	YBR070C_tsa1061	0.4982	0.7757	0.1002	YBR070C	YDL227C	YDR469W
207654	YDL227C+YOR269W_tm2899	YMR055C_dma3666	0.4982	0.8698	0.0772	YDL227C	YMR055C	YOR269W
337291	YHR119W+YDL227C_tm3346	YOL117W_dma4401	0.4982	0.8752	0.0361	YDL227C	YHR119W	YOL117W
278357	YER106W+YDL227C_tm3243	YDL017W_tsa880	0.4982	0.886	0.0796	YDL017W	YDL227C	YER106W
143643	YDL227C+YML107C_tm2865	YOR264W_dma4664	0.4982	0.7792	0.0739	YDL227C	YML107C	YOR264W
76607	YDL227C+YGR206W_tm2807	YKL190W_dma2902	0.4982	0.9033	0.0915	YDL227C	YGR206W	YKL190W
201494	YDL227C+YOR195W_tm2896	YDR386W_dma1107	0.4982	0.8835	0.0237	YDL227C	YDR386W	YOR195W
71993	YDL227C+YGL231C_tm2732	YJR053W_dma2650	0.4981	0.9119	0.045	YDL227C	YGL231C	YJR053W
59645	YDL227C+YDR363W_tm2820	YKL062W_dma2773	0.4981	0.8047	0.0264	YDL227C	YDR363W	YKL062W
384307	YKL206C+YDL227C_tm3171	YDR216W_dma973	0.4981	1.0014	0.0368	YDL227C	YDR216W	YKL206C
96082	YDL227C+YIL065C_tm2834	YLR383W_tsa747	0.4981	0.9284	0.1462	YDL227C	YIL065C	YLR383W
12550	YBR070C+YDL227C_tm3275	YOR064C_dma4482	0.4981	0.888	0.0496	YBR070C	YDL227C	YOR064C
318073	YGR206W+YDL227C_tm3351	YPL098C_dma4846	0.4981	0.8224	0.1175	YDL227C	YGR206W	YPL098C
361990	YJL030W+YDL227C_tm3211	YIL139C_dma2369	0.4981	0.9613	0.0522	YDL227C	YIL139C	YJL030W
106485	YDL227C+YJR050W_tm2842	YOR264W_dma4664	0.4981	0.9658	0.0427	YDL227C	YJR050W	YOR264W
44428	YDL227C+YBL041W_tm2790	YOR038C_dma4455	0.4981	0.8961	0.0333	YBL041W	YDL227C	YOR038C
80614	YDL227C+YHR012W_tm2809	YBR086C_dma5238	0.4981	0.8588	0.0384	YBR086C	YDL227C	YHR012W
65339	YDL227C+YER164W_tm2753	YLR021W_dma3110	0.4981	0.7989	0.0366	YDL227C	YER164W	YLR021W
400550	YLR119W+YDL227C_tm3057	YBR042C_dma208	0.4981	0.87	0.0831	YBR042C	YDL227C	YLR119W
141871	YDL227C+YML103C_tm2737	YGL016W_dma1602	0.4981	0.6641	0.0454	YDL227C	YGL016W	YML103C
317646	YGR206W+YDL227C_tm3351	YKL160W_dma2877	0.4981	0.9191	0.0549	YDL227C	YGR206W	YKL160W
317021	YGR206W+YDL227C_tm3351	YBR028C_dma194	0.4981	0.9592	0.0828	YBR028C	YDL227C	YGR206W
232178	YDL227C+YPR075C_tm2921	YIL065C_dma2325	0.498	0.8874	0.071	YDL227C	YIL065C	YPR075C
123540	YDL227C+YLL038C_tm2763	YBR087W_tsa887	0.498	0.9218	0.0509	YBR087W	YDL227C	YLL038C
362120	YJL030W+YDL227C_tm3211	YLR114C_dma3194	0.498	0.8924	0.0865	YDL227C	YJL030W	YLR114C
473069	YOR144C+YDL227C_tm3227	YMR004W_dma3614	0.498	0.9187	0.0249	YDL227C	YMR004W	YOR144C
13696	YBR086C+YDL227C_tm3207	YJL123C_dma2514	0.498	0.848	0.0734	YBR086C	YDL227C	YJL123C
401523	YLR119W+YDL227C_tm3057	YPL053C_dma4807	0.498	0.8868	0.0581	YDL227C	YLR119W	YPL053C
429003	YML108W+YDL227C_tm3354	YKL101W_dma2824	0.498	0.9412	0.0753	YDL227C	YKL101W	YML108W
317658	YGR206W+YDL227C_tm3351	YKL213C_dma2910	0.4979	0.8859	0.078	YDL227C	YGR206W	YKL213C
